displayName,schoolType,state,city,region,isPublic,displayRank,sortRank,ReligiousAffiliation
William Penn University,regional-colleges-midwest,IA,Oskaloosa,midwest,True,#51,51,
Williams Baptist University,regional-colleges-south,AR,Walnut Ridge,south,True,#36,36,
Williams College,national-liberal-arts-colleges,MA,Williamstown,,True,#1,1,
William Woods University,national-universities,MO,Fulton,,True,#392-434,-1,
Wilmington College,regional-colleges-midwest,OH,Wilmington,midwest,True,#38,38,
Wilmington University,national-universities,DE,New Castle,,True,#392-434,-1,
Wilson College,regional-universities-north,PA,Chambersburg,north,True,#151-165,-1,
Wingate University,national-universities,NC,Wingate,,True,#371,371,
Winona State University,regional-universities-midwest,MN,Winona,midwest,True,#28,28,
Winston-Salem State University,national-universities,NC,Winston-Salem,,True,#220,220,
Winthrop University,regional-universities-south,SC,Rock Hill,south,True,#12,12,
Wisconsin Lutheran College,regional-colleges-midwest,WI,Milwaukee,midwest,True,#16,16,
Wittenberg University,national-liberal-arts-colleges,OH,Springfield,,True,#153,153,
Wofford College,national-liberal-arts-colleges,SC,Spartanburg,,True,#66,66,
Woodbury University,regional-universities-west,CA,Burbank,west,True,#47,47,
Worcester Polytechnic Institute,national-universities,MA,Worcester,,True,#86,86,
Worcester State University,regional-universities-north,MA,Worcester,north,True,#97,97,
Wright State University,national-universities,OH,Dayton,,True,#392-434,-1,
Wright State University--Lake Campus,regional-colleges-midwest,OH,,midwest,True,#64,64,
Xavier University,national-universities,OH,Cincinnati,,True,#209,209,
Xavier University of Louisiana,regional-universities-south,LA,New Orleans,south,True,#20,20,
Yakima Valley College,regional-colleges-west,WA,Yakima,west,True,Unranked,-2,
Yale University,national-universities,CT,New Haven,,True,#5,5,
Yeshiva University,national-universities,NY,New York,,True,#98,98,
York College--CUNY,regional-universities-north,NY,Jamaica,north,True,#139,139,
York College of Pennsylvania,regional-universities-north,PA,York,north,True,#84,84,
York University,regional-colleges-midwest,NE,York,midwest,True,#41,41,
Young Harris College,national-liberal-arts-colleges,GA,Young Harris,,True,#187-204,-1,
Youngstown State University,regional-universities-midwest,OH,Youngstown,midwest,True,#98,98,
